VENUE,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,SPREAD
Home,42,103,11,33,11,12,17,33,50,27,18,10,10,7,106,0
Road,33,78,6,28,18,31,12,37,49,12,19,6,12,1,90,-6
Home,29,79,9,27,17,21,10,36,46,16,26,7,14,4,84,6
Road,30,82,7,23,14,20,10,28,38,15,22,10,14,4,81,9.5
Home,34,77,9,21,23,27,13,35,48,19,19,8,15,5,100,-9.5
Road,36,95,15,33,10,12,9,36,45,21,21,9,6,4,97,6.5
Home,37,84,4,16,24,31,10,47,57,27,16,4,11,6,102,-6.5
Road,33,69,8,22,26,29,10,33,43,17,22,5,22,10,100,5.5
Home,36,86,6,16,23,27,14,21,35,22,21,10,8,0,101,-5.5
Road,30,86,5,17,20,28,12,31,43,16,17,11,17,7,85,12.5
Home,39,97,8,25,16,21,16,39,55,20,19,9,13,13,102,-12.5
Road,29,88,9,27,15,18,15,42,57,18,27,10,20,7,82,7.5
Home,30,82,7,27,23,29,7,41,48,19,15,9,15,4,90,-7.5
Road,33,77,9,29,23,31,8,32,40,19,25,10,20,8,98,-5
Home,37,81,9,20,24,32,12,34,46,25,23,10,18,4,107,5
Road,42,89,8,21,17,21,9,35,44,24,24,7,15,4,109,6
Home,40,94,11,27,20,26,15,35,50,25,16,11,14,3,111,-6
Road,33,74,7,27,23,35,11,31,42,15,23,8,15,2,96,4
Home,37,79,7,19,20,26,11,31,42,23,23,6,13,4,101,-4
Road,38,87,4,18,19,24,6,39,45,19,22,7,12,2,99,5.5
Home,39,83,12,29,18,26,7,42,49,29,23,6,11,6,108,-5.5
Road,43,89,8,28,16,21,8,37,45,24,21,6,11,7,110,5.5
Home,32,84,9,34,25,32,12,31,43,22,23,9,12,5,98,-5.5
Road,37,91,14,38,17,27,14,40,54,21,24,6,20,8,105,-4.5
Home,43,102,6,16,16,22,15,36,51,20,25,6,12,9,108,4.5
Road,33,82,8,22,9,11,6,35,41,15,21,7,15,3,83,18.5
Home,33,85,5,16,21,25,12,42,54,23,9,10,13,7,92,-18.5
Road,34,98,6,35,7,8,9,33,42,13,20,8,10,6,81,8
Home,37,84,11,24,20,26,10,47,57,19,13,4,20,1,105,-8
Road,41,98,2,18,15,16,11,39,50,22,13,12,12,4,99,17.5
Home,43,97,12,34,9,10,11,39,50,31,19,9,14,10,107,-17.5
Road,32,71,6,21,17,19,4,32,36,16,22,5,18,5,87,2.5
Home,38,88,4,18,15,19,10,31,41,18,20,8,9,4,95,-2.5
Road,40,71,9,17,25,27,4,30,34,21,16,7,15,6,114,-2.5
Home,41,82,5,16,19,21,9,24,33,20,24,10,12,2,106,2.5
Road,35,89,5,21,19,21,16,30,46,20,25,5,12,3,94,4
Home,41,83,9,31,15,19,7,30,37,29,16,6,11,9,106,-4
Road,39,76,7,21,12,17,10,30,40,21,15,7,17,7,97,3.5
Home,37,76,8,22,14,17,8,25,33,26,16,9,15,5,96,-3.5
Road,39,82,9,23,13,20,12,35,47,25,26,12,18,7,100,6
Home,28,77,6,25,23,29,10,24,34,18,20,10,18,6,85,-6
Road,38,87,15,31,10,14,7,29,36,18,20,13,15,1,101,-2
Home,39,76,10,25,19,24,9,33,42,23,19,8,19,5,107,2
Road,35,96,7,27,8,15,12,34,46,16,25,7,10,2,85,-3
Home,31,75,6,19,29,39,7,39,46,24,19,5,16,5,97,3
Road,30,76,7,24,25,30,6,33,39,16,23,12,19,2,92,-7.5
Home,34,76,5,22,13,20,8,38,46,16,29,9,27,4,86,7.5
Road,35,87,9,21,16,24,11,39,50,19,21,4,12,5,95,5
Home,35,86,6,15,20,32,10,38,48,26,20,9,8,9,96,-5
Road,44,93,11,36,12,17,16,33,49,27,22,16,19,3,111,6
Home,36,85,11,32,12,23,14,32,46,23,20,10,22,6,95,-6
Road,41,81,10,24,22,31,12,32,44,22,28,7,19,6,114,1
Home,37,84,12,17,36,39,12,22,34,23,22,11,10,4,122,-1
Road,31,75,7,19,11,13,4,35,39,15,18,4,12,3,80,12.5
Home,38,89,7,23,10,13,12,35,47,29,13,9,6,10,93,-12.5
Road,37,77,9,20,18,20,7,30,37,12,23,5,16,2,101,10
Home,45,93,11,30,19,25,18,32,50,23,16,13,10,6,120,-10
Road,31,72,10,21,14,24,6,28,34,22,27,5,19,3,86,4
Home,37,70,12,22,29,41,6,36,42,25,19,8,12,3,115,-4
Road,33,76,12,29,10,14,8,36,44,22,17,7,20,7,88,-4.5
Home,37,84,9,20,7,13,9,35,44,22,14,14,11,3,90,4.5
Road,38,80,11,33,12,20,3,37,40,21,25,8,14,2,99,-5
Home,36,84,7,21,25,31,11,37,48,20,15,11,13,1,104,5
Road,36,97,4,21,27,35,15,39,54,14,26,12,8,5,103,9
Home,36,79,5,24,14,30,10,41,51,20,26,3,22,12,91,-9
Road,36,82,5,20,17,25,8,34,42,13,16,7,7,7,94,1
Home,36,89,10,20,20,21,10,35,45,22,20,4,10,6,102,-1
Road,45,85,15,30,10,13,11,32,43,27,15,5,13,6,115,5.5
Home,41,83,7,23,9,11,8,25,33,25,17,4,9,8,98,-5.5
Road,37,79,6,18,30,39,12,28,40,18,25,11,18,2,110,9
Home,43,80,11,29,18,27,9,25,34,31,29,10,20,6,115,-9
Road,44,91,5,15,18,22,5,32,37,25,23,5,9,4,111,7.5
Home,39,80,11,25,27,36,9,40,49,27,16,5,15,8,116,-7.5
Road,36,85,4,18,25,30,11,46,57,21,23,4,14,13,101,3
Home,41,110,9,21,13,21,20,34,54,20,21,10,9,4,104,-3
Road,42,92,12,27,16,20,16,32,48,28,17,18,18,8,112,-6
Home,35,76,5,25,10,16,7,36,43,14,17,9,29,8,85,6
Road,37,72,7,20,25,35,7,32,39,22,22,7,17,7,106,4.5
Home,38,92,8,26,18,24,14,29,43,22,28,12,14,1,102,-4.5
Road,38,86,5,16,16,18,13,39,52,26,22,7,20,1,97,4
Home,38,89,9,30,18,24,12,33,45,23,15,9,11,6,103,-4
Road,35,88,9,30,24,29,10,38,48,18,27,11,19,7,103,6
Home,32,92,14,44,30,35,13,38,51,22,20,11,17,6,108,-6
Road,43,95,8,32,9,9,10,30,40,21,25,8,11,4,103,8.5
Home,38,85,7,17,27,40,16,34,50,19,16,6,14,4,110,-8.5
Road,38,98,5,15,17,18,17,33,50,25,17,7,6,5,98,14
Home,42,86,9,18,16,20,10,40,50,33,13,5,10,13,109,-14
Road,34,80,5,20,16,18,9,28,37,14,17,10,14,4,89,3
Home,35,72,7,22,16,22,7,34,41,15,20,9,17,5,93,-3
Road,41,83,9,19,12,14,11,36,47,24,17,7,19,2,103,1.5
Home,37,91,8,27,15,21,14,29,43,16,14,12,12,4,97,-1.5
Road,43,84,12,23,11,20,9,33,42,25,27,3,18,3,109,8.5
Home,42,89,7,24,25,33,12,29,41,25,15,11,7,7,116,-8.5
Road,38,73,3,8,21,26,6,16,22,22,29,8,11,2,100,9.5
Home,40,71,11,24,24,30,13,30,43,29,24,3,17,2,115,-9.5
Road,38,73,17,30,31,36,8,36,44,31,20,4,19,4,124,-5
Home,44,88,13,29,16,24,9,26,35,21,25,11,10,2,117,5
Road,32,79,8,26,16,22,9,33,42,21,18,5,17,6,88,10
Home,40,81,12,25,21,22,5,36,41,25,21,7,11,10,113,-10
Road,35,89,8,19,17,24,14,30,44,17,13,10,19,0,95,9
Home,51,87,10,29,8,10,7,34,41,39,19,10,16,4,120,-9
Road,28,74,6,29,22,37,9,40,49,15,23,11,23,9,84,4.5
Home,36,85,8,24,16,19,8,39,47,26,30,16,11,4,96,-4.5
Road,40,87,6,28,10,13,8,37,45,13,23,11,14,5,96,-1
Home,33,77,3,13,17,25,6,34,40,17,19,7,17,4,86,1
Road,34,84,9,17,13,16,5,38,43,22,17,5,8,8,90,-9
Home,40,88,8,22,16,17,7,46,53,26,17,3,9,3,104,9
Road,33,72,12,20,15,23,6,30,36,23,20,10,20,5,93,7.5
Home,35,92,3,29,17,23,21,28,49,12,19,9,14,4,90,-7.5
Road,35,80,6,20,17,21,18,30,48,14,24,4,17,2,93,2.5
Home,39,83,8,28,16,17,8,26,34,24,19,10,8,5,102,-2.5
Road,40,79,15,27,19,25,10,32,42,22,26,7,19,7,114,-1.5
Home,41,90,5,24,20,26,14,24,38,24,22,8,11,4,107,1.5
Road,38,86,7,24,8,16,10,32,42,24,24,6,13,5,91,-3.5
Home,38,90,8,25,18,24,17,38,55,16,17,8,14,3,102,3.5
Road,35,88,7,22,17,23,15,28,43,22,19,11,12,2,94,9
Home,39,79,10,29,18,24,11,38,49,20,15,7,15,6,106,-9
Road,34,78,15,33,19,24,12,29,41,21,15,7,12,3,102,-6
Home,35,77,8,25,13,17,9,32,41,21,18,8,15,4,91,6
Road,31,81,7,20,28,31,10,37,47,23,16,11,14,5,97,2.5
Home,38,92,9,31,6,8,15,35,50,27,26,8,17,7,91,-2.5
Road,34,79,5,17,13,19,13,30,43,19,19,9,23,5,86,4.5
Home,47,91,15,30,14,23,11,31,42,28,13,15,14,5,123,-4.5
Road,32,86,11,28,22,25,12,26,38,22,20,10,12,4,97,6
Home,41,85,11,29,16,19,11,40,51,27,22,4,14,8,109,-6
Road,38,78,7,19,14,20,9,33,42,22,19,10,11,0,97,2.5
Home,36,79,8,26,15,21,8,30,38,20,17,3,13,2,95,-2.5
Road,31,82,10,31,19,24,10,33,43,16,30,7,16,8,91,14
Home,30,69,5,18,31,45,9,36,45,16,19,7,16,14,96,-14
Road,34,80,12,25,27,34,19,26,45,20,22,4,11,8,107,6.5
Home,35,81,12,28,20,28,16,26,42,18,26,6,12,4,102,-6.5
Road,32,74,1,9,17,17,7,28,35,19,23,13,16,2,82,8
Home,34,72,7,21,17,22,7,33,40,20,20,7,17,6,92,-8
Road,29,78,4,17,29,31,14,32,46,15,19,8,14,0,91,6
Home,29,74,7,32,15,20,12,30,42,21,30,9,19,9,80,-6
Road,35,82,14,37,17,21,10,25,35,19,28,9,17,2,101,-4
Home,40,79,5,15,26,33,14,35,49,18,20,11,14,4,111,4
Road,35,90,17,36,29,33,11,35,46,17,29,6,15,4,116,1.5
Home,39,85,11,30,33,40,10,39,49,23,26,11,14,6,122,-1.5
Road,44,83,10,19,16,28,9,27,36,26,17,8,17,4,114,4
Home,47,90,9,22,14,18,14,27,41,25,23,8,16,6,117,-4
Road,47,89,15,29,9,13,11,35,46,35,25,15,21,8,118,-10.5
Home,37,86,4,15,27,35,13,28,41,23,15,9,19,3,105,10.5
Road,43,87,8,25,13,17,7,36,43,27,18,7,10,8,107,-1.5
Home,32,88,6,18,23,27,15,36,51,17,12,2,10,6,93,1.5
Road,52,104,8,31,10,16,8,38,46,34,30,10,20,8,122,5
Home,49,98,9,29,20,26,8,40,48,24,19,10,19,7,127,-5
Road,40,81,10,22,13,21,9,30,39,25,21,6,10,6,103,9.5
Home,43,81,18,35,13,22,8,33,41,34,15,5,10,3,117,-9.5
Road,28,87,4,24,18,21,15,34,49,12,23,7,11,4,78,5.5
Home,31,81,5,19,28,36,16,40,56,18,19,8,9,7,95,-5.5
Road,31,91,6,28,20,24,22,26,48,19,18,7,17,3,88,0
Home,43,83,9,13,14,17,12,33,45,30,23,12,12,4,109,0
Road,32,78,10,31,21,27,11,30,41,15,26,10,19,6,95,7.5
Home,36,78,3,12,25,27,8,33,41,20,25,8,17,7,100,-7.5
Road,34,73,7,19,9,10,9,28,37,23,17,13,28,3,84,8.5
Home,42,82,9,20,5,10,11,27,38,21,20,18,20,3,98,-8.5
Road,42,77,11,27,16,18,6,30,36,22,31,12,16,10,111,4
Home,28,73,5,19,28,40,13,28,41,15,18,11,21,3,89,-4
Road,44,80,19,26,16,23,7,34,41,25,18,11,20,0,123,3
Home,38,83,13,33,17,24,10,30,40,27,18,9,21,1,106,-3
Road,34,82,9,21,20,26,10,23,33,23,19,14,16,2,97,4
Home,45,80,12,24,19,22,6,37,43,33,25,8,20,7,121,-4
Road,30,77,11,34,25,28,4,44,48,22,25,4,19,6,96,3
Home,37,86,7,21,29,37,5,37,42,20,24,12,9,4,110,-3
Road,37,79,8,20,29,47,11,32,43,24,25,10,7,8,111,-7
Home,31,78,8,25,24,29,8,40,48,16,32,3,16,0,94,7
Road,33,86,7,18,20,23,6,38,44,19,18,6,10,3,93,-1.5
Home,31,88,6,22,20,27,16,39,55,18,21,5,14,9,88,1.5
Road,31,83,3,21,12,16,8,37,45,16,15,8,14,2,77,17.5
Home,45,92,12,35,9,15,12,36,48,32,13,9,8,6,111,-17.5
Road,31,87,10,32,15,18,11,30,41,15,20,13,14,4,87,2
Home,39,83,8,26,15,15,9,42,51,22,17,5,19,6,101,-2
Road,31,83,9,27,20,25,12,35,47,16,23,2,11,10,91,2
Home,34,86,5,16,27,32,15,33,48,20,21,2,7,7,100,-2
Road,31,83,7,27,11,15,7,43,50,12,21,11,18,14,80,11.5
Home,31,91,9,29,13,18,11,43,54,18,12,7,16,6,84,-11.5
Road,32,79,6,20,11,16,10,33,43,21,14,2,13,7,81,-1
Home,41,98,16,31,6,7,18,36,54,24,16,6,7,7,104,1
Road,36,82,14,29,13,16,9,33,42,22,20,4,10,2,99,-1
Home,40,79,11,25,12,22,6,34,40,14,15,8,9,5,103,1
Road,39,80,3,16,21,23,9,32,41,21,23,8,17,3,102,3.5
Home,30,71,10,34,23,27,6,31,37,19,22,14,19,7,93,-3.5
Road,44,77,10,23,31,37,7,35,42,23,19,9,8,7,129,5.5
Home,42,88,13,31,21,27,10,27,37,30,22,7,11,7,118,-5.5
Road,31,82,8,31,25,35,15,38,53,14,20,10,14,7,95,-2
Home,34,82,9,21,22,29,7,38,45,22,23,9,11,4,99,2
Road,43,94,3,13,10,12,11,34,45,20,19,10,17,3,99,12.5
Home,41,78,10,24,18,21,4,38,42,26,11,11,19,7,110,-12.5
Road,34,83,6,22,9,12,9,37,46,21,21,7,13,1,83,8
Home,33,81,8,28,14,19,12,40,52,23,12,6,13,4,88,-8
Road,42,81,10,22,26,34,5,37,42,20,23,4,14,6,120,4.5
Home,44,96,10,26,16,20,11,33,44,25,26,8,10,5,114,-4.5
Road,39,77,6,13,18,25,11,28,39,19,20,12,16,4,102,4.5
Home,38,75,4,12,11,17,11,24,35,18,22,11,19,7,91,-4.5
Road,34,81,8,25,19,25,12,38,50,17,22,3,16,2,95,-3.5
Home,33,80,5,25,19,25,7,31,38,20,25,7,11,7,90,3.5
Road,31,74,8,26,20,22,6,32,38,20,20,8,21,2,90,4
Home,43,82,12,27,16,22,8,33,41,30,18,9,18,5,114,-4
Road,27,84,5,18,19,22,13,33,46,16,19,7,22,4,78,4
Home,42,97,12,33,15,19,19,39,58,28,15,11,15,7,111,-4
Road,33,76,7,17,24,28,8,34,42,16,13,4,12,7,97,-1.5
Home,32,85,3,14,11,15,7,32,39,16,24,7,10,5,78,1.5
Road,32,92,11,26,17,20,9,38,47,21,23,7,15,7,92,2.5
Home,37,87,8,28,22,29,8,43,51,18,18,8,13,4,104,-2.5
Road,40,83,16,35,18,26,8,25,33,24,24,18,12,5,114,10.5
Home,38,73,11,20,29,37,10,39,49,21,21,5,22,6,116,-10.5
Road,35,75,14,39,32,36,6,34,40,25,21,4,10,3,116,3
Home,35,80,12,30,19,21,5,32,37,20,25,3,13,1,101,-3
Road,31,90,9,29,16,20,13,25,38,17,21,9,8,1,87,8.5
Home,37,79,7,24,22,26,12,46,58,19,19,2,18,9,103,-8.5
Road,36,75,8,22,11,14,5,37,42,22,17,11,18,7,91,-9.5
Home,31,77,7,20,11,13,8,29,37,17,19,8,18,2,80,9.5
Road,46,81,22,38,21,31,11,42,53,32,26,7,23,9,135,-8.5
Home,45,92,10,26,16,23,7,23,30,21,26,13,14,2,116,8.5
Road,37,77,9,25,18,19,12,34,46,20,19,4,17,3,101,3
Home,37,86,8,22,9,15,12,24,36,21,16,4,15,3,91,-3
Road,34,94,5,20,17,23,15,35,50,20,23,8,12,1,90,6
Home,40,83,7,19,24,30,5,44,49,27,20,6,13,7,111,-6
Road,31,72,11,24,11,14,6,42,48,17,21,8,22,7,84,-2
Home,27,82,7,23,21,27,10,32,42,20,16,11,14,3,82,2
Road,33,81,4,17,18,24,8,38,46,21,18,9,16,4,88,11
Home,35,87,9,27,11,17,12,37,49,20,19,9,19,11,90,-11
Road,30,75,8,25,13,17,10,35,45,17,22,9,20,5,81,8.5
Home,33,77,7,26,19,27,10,32,42,18,14,13,13,3,92,-8.5
Road,37,87,6,26,8,13,12,31,43,28,17,9,18,5,88,7.5
Home,40,85,9,17,19,20,12,37,49,25,14,11,16,9,108,-7.5
Road,29,69,5,17,24,30,4,31,35,19,19,8,16,4,87,6.5
Home,38,82,9,18,16,21,12,37,49,18,25,11,15,9,101,-6.5
Road,36,82,7,23,17,23,6,27,33,20,19,12,9,2,96,8.5
Home,38,78,12,30,20,26,12,34,46,24,16,5,16,2,108,-8.5
Road,39,100,10,25,13,15,19,29,48,22,24,9,14,7,101,14
Home,39,80,16,30,26,31,13,35,48,32,19,8,14,7,120,-14
Road,33,82,8,28,8,14,13,33,46,25,24,9,14,2,82,5.5
Home,27,70,15,31,18,22,7,36,43,20,16,6,13,6,87,-5.5
Road,37,82,8,16,17,21,7,32,39,21,27,7,13,3,99,8.5
Home,39,75,8,22,21,33,7,32,39,24,21,3,13,5,107,-8.5
Road,34,101,6,24,9,21,19,32,51,19,15,11,14,1,83,-3
Home,35,81,4,12,13,16,7,44,51,15,16,8,19,11,87,3
Road,36,88,5,27,14,20,9,25,34,28,16,7,11,6,91,-1
Home,45,93,9,25,11,16,17,37,54,24,20,6,13,7,110,1
Road,40,94,11,27,16,20,13,37,50,24,15,4,9,9,107,6
Home,38,86,12,29,14,17,8,35,43,19,17,6,11,7,102,-6
Road,30,77,12,36,12,16,8,33,41,23,29,18,25,9,84,11.5
Home,34,81,4,13,20,27,15,34,49,19,18,11,26,7,92,-11.5
Road,43,95,7,25,23,36,17,22,39,16,19,16,8,2,116,0
Home,45,78,6,18,15,17,5,38,43,22,24,5,21,7,111,0
Road,34,83,9,27,30,37,9,41,50,17,18,4,15,5,107,-7.5
Home,38,99,11,33,16,22,15,39,54,17,27,6,10,5,103,7.5
Road,35,88,11,27,24,28,16,29,45,19,27,11,16,7,105,2.5
Home,45,85,8,23,18,37,14,32,46,22,19,8,11,8,116,-2.5
Road,38,80,8,20,21,25,12,28,40,23,21,15,15,3,105,3.5
Home,36,75,5,17,18,24,11,27,38,21,19,9,18,6,95,-3.5
Road,37,93,7,19,19,22,13,35,48,19,19,8,11,8,100,-1
Home,39,90,10,28,18,20,14,37,51,23,15,9,12,8,106,1
Road,37,90,2,14,13,18,12,35,47,20,17,5,9,4,89,-3.5
Home,37,86,6,16,12,20,12,39,51,25,21,4,10,6,92,3.5
Road,28,75,6,19,12,16,10,33,43,19,20,6,22,4,74,3
Home,35,77,6,18,16,22,8,30,38,25,19,10,13,12,92,-3
Road,40,82,14,29,12,15,14,31,45,21,19,2,15,5,106,-7
Home,40,89,6,19,17,22,10,25,35,18,16,9,8,2,103,7
Road,36,84,9,37,17,22,9,31,40,22,30,8,16,3,98,-2.5
Home,36,79,9,31,31,44,9,33,42,22,18,1,11,1,112,2.5
Road,33,87,5,23,16,27,13,41,54,18,38,6,18,2,87,8
Home,33,85,8,19,28,56,18,37,55,26,22,7,10,5,102,-8
Road,39,83,7,28,12,16,2,37,39,23,23,7,12,5,97,8.5
Home,28,83,9,30,20,23,10,37,47,15,18,8,18,3,85,-8.5
Road,33,89,8,34,17,24,12,34,46,15,19,4,11,2,91,0
Home,37,79,14,32,15,23,10,37,47,28,18,6,15,8,103,0
Road,33,75,10,28,15,22,4,35,39,20,13,9,16,3,91,-3
Home,41,84,4,13,8,12,6,36,42,23,19,10,15,4,94,3
Road,38,86,5,17,15,20,11,33,44,19,30,7,13,5,96,1
Home,29,77,4,19,31,38,12,34,46,14,20,7,13,11,93,-1
Road,43,90,2,10,25,26,13,36,49,21,23,3,6,4,113,1
Home,35,81,9,27,25,33,9,28,37,25,21,3,8,11,104,-1
Road,43,94,9,29,20,24,12,37,49,23,17,7,12,5,115,0
Home,41,100,15,40,15,17,13,37,50,24,23,6,15,1,112,0
Road,46,88,16,34,8,11,11,42,53,31,23,2,18,9,116,-10
Home,35,94,9,31,20,30,13,28,41,19,13,10,8,7,99,10
Road,41,96,8,25,18,20,16,29,45,17,22,18,16,3,108,9
Home,37,79,7,21,23,31,8,33,41,24,15,11,23,2,104,-9
Road,47,97,14,33,14,15,10,26,36,28,33,7,15,3,122,3.5
Home,44,87,12,27,27,44,13,37,50,24,20,10,18,1,127,-3.5
Road,32,86,9,30,14,24,7,35,42,11,19,8,13,7,87,8.5
Home,38,88,4,19,19,22,8,42,50,19,17,5,17,9,99,-8.5
Road,36,79,6,25,18,24,8,42,50,12,18,10,12,5,96,3
Home,33,90,8,27,12,16,13,30,43,22,20,8,12,7,86,-3
Road,36,93,5,15,13,22,13,36,49,26,22,8,7,8,90,9
Home,36,89,6,17,21,27,15,47,62,22,17,3,14,10,99,-9
Road,36,88,7,25,22,25,16,40,56,20,32,5,23,6,101,3.5
Home,36,87,8,27,28,39,9,33,42,20,23,9,10,7,108,-3.5
Road,26,78,3,14,15,18,6,38,44,17,20,7,16,6,70,12.5
Home,37,90,7,21,14,20,11,43,54,25,12,11,11,9,95,-12.5
Road,32,76,7,20,32,39,9,38,47,16,26,7,14,6,103,2.5
Home,30,79,6,27,25,39,10,30,40,19,31,4,15,2,91,-2.5
Road,35,79,4,16,21,24,9,35,44,15,18,5,15,1,95,-2
Home,40,81,3,13,14,24,6,29,35,25,14,10,9,3,97,2
Road,38,81,12,27,18,18,6,36,42,30,19,2,11,4,106,11
Home,39,92,8,27,19,22,9,30,39,21,16,9,4,3,105,-11
Road,40,89,8,23,15,15,9,31,40,19,20,13,10,4,103,5.5
Home,31,72,14,33,18,24,5,34,39,18,16,4,19,8,94,-5.5
Road,40,80,10,18,13,18,10,38,48,27,21,8,15,8,103,-2
Home,30,80,2,16,21,25,9,28,37,19,17,6,11,6,83,2
Road,38,88,13,30,22,24,15,26,41,18,17,4,12,3,111,-2
Home,44,85,18,36,17,20,15,33,48,26,20,11,15,3,123,2
Road,40,84,14,33,20,24,6,34,40,34,32,14,16,5,114,-1.5
Home,29,77,7,21,32,41,9,37,46,21,20,8,19,4,97,1.5
Road,39,91,3,11,10,15,13,36,49,15,13,9,13,4,91,4
Home,39,87,12,27,18,21,8,36,44,25,14,8,13,6,108,-4
Road,43,84,10,23,10,16,12,23,35,21,23,8,20,4,106,2.5
Home,40,82,10,26,19,25,15,26,41,19,21,9,21,2,109,-2.5
Road,39,87,4,18,13,14,9,42,51,21,33,6,14,6,95,6.5
Home,34,82,7,23,27,39,8,38,46,18,11,8,9,4,102,-6.5
Road,32,86,13,27,10,13,15,27,42,19,14,10,16,7,87,11.5
Home,37,74,10,26,16,20,9,34,43,24,11,11,17,9,100,-11.5
Road,39,84,12,26,10,18,15,30,45,20,22,12,18,5,100,6.5
Home,37,81,8,29,14,20,11,31,42,23,17,8,17,5,96,-6.5
Road,39,89,10,33,20,24,12,31,43,18,26,8,14,1,108,-4.5
Home,42,85,9,25,21,31,11,35,46,25,25,10,15,2,114,4.5
Road,37,81,11,31,23,38,13,34,47,25,21,8,17,4,108,-3
Home,37,74,15,31,16,26,7,33,40,22,28,11,20,8,105,3
Road,35,73,16,30,26,36,8,35,43,22,24,2,12,5,112,-6.5
Home,40,91,8,20,21,26,11,27,38,21,27,9,6,3,109,6.5
Road,31,85,6,28,16,24,11,25,36,14,26,8,14,1,84,0
Home,37,68,7,16,18,29,3,38,41,21,25,5,15,9,99,0
Road,37,89,10,34,18,25,13,37,50,23,18,10,9,3,102,6.5
Home,37,89,9,25,13,19,12,40,52,29,19,5,14,5,96,-6.5
Road,46,98,10,26,11,13,13,34,47,35,27,12,13,7,113,4
Home,36,78,16,34,32,43,13,30,43,25,18,9,17,5,120,-4
Road,39,77,10,20,21,30,8,32,40,23,21,7,14,3,109,1.5
Home,38,83,5,15,22,26,13,32,45,24,24,3,14,4,103,-1.5
Road,32,76,6,25,21,28,6,31,37,22,24,4,15,4,91,1.5
Home,44,89,2,4,16,24,13,36,49,25,22,5,13,6,106,-1.5
Road,39,86,12,29,15,22,11,28,39,22,22,9,14,3,105,8.5
Home,44,83,5,17,15,22,11,36,47,26,22,3,14,3,108,-8.5
Road,40,93,12,29,27,34,12,32,44,17,34,10,15,2,119,-1.5
Home,43,92,8,23,28,37,19,35,54,21,30,7,15,3,122,1.5
Road,40,90,6,20,15,18,15,36,51,22,21,8,13,6,101,2
Home,37,82,12,31,17,25,10,35,45,25,15,5,14,2,103,-2
Road,36,82,9,31,12,17,11,36,47,20,24,8,18,5,93,4.5
Home,36,90,5,15,18,24,15,31,46,23,16,8,12,5,95,-4.5
Road,44,86,14,33,12,23,10,36,46,25,18,9,12,9,114,-11.5
Home,39,89,5,17,15,23,11,35,46,21,18,8,13,2,98,11.5
Road,32,80,5,18,22,29,8,31,39,12,21,6,15,4,91,9.5
Home,41,93,9,24,20,26,17,44,61,20,21,11,16,1,111,-9.5
Road,38,76,16,31,24,27,6,44,50,25,17,5,16,4,116,-1
Home,42,89,8,27,12,21,6,25,31,22,22,9,6,0,104,1
Road,35,88,7,24,18,30,13,28,41,20,20,11,14,5,95,10.5
Home,35,86,6,22,22,31,19,43,62,18,22,8,21,6,98,-10.5
Road,32,87,10,34,10,22,7,34,41,17,20,11,12,2,84,3
Home,36,84,8,26,24,35,14,43,57,21,20,5,14,5,104,-3
Road,47,76,4,11,21,25,7,40,47,32,17,4,7,1,119,-13
Home,26,75,4,24,12,21,6,25,31,14,25,3,13,1,68,13
Road,46,92,9,18,13,17,12,25,37,23,19,7,10,2,114,7.5
Home,41,69,5,16,16,22,4,30,34,25,18,5,16,6,103,-7.5
Road,37,82,13,31,17,20,7,36,43,21,14,7,9,3,104,-1
Home,40,84,9,25,8,9,3,34,37,25,21,4,13,4,97,1
Road,34,83,7,19,18,20,14,33,47,14,23,4,15,4,93,12
Home,34,74,9,25,25,32,8,30,38,18,13,7,7,2,102,-12
Road,41,92,7,17,14,17,10,30,40,18,17,12,18,4,103,6
Home,41,90,6,21,13,18,16,32,48,28,19,11,20,8,101,-6
Road,33,85,8,33,14,18,15,31,46,21,25,10,17,7,88,1.5
Home,30,73,4,13,26,33,10,35,45,22,19,8,16,7,90,-1.5
Road,38,86,8,25,26,29,13,30,43,21,26,10,17,9,110,-1.5
Home,36,82,7,18,27,35,11,35,46,18,29,10,18,3,106,1.5
Road,40,81,12,28,19,24,10,36,46,24,18,8,17,8,111,1
Home,37,90,4,13,15,18,13,31,44,21,17,8,14,6,93,-1
Road,40,79,11,26,9,16,10,26,36,21,25,3,18,2,100,9
Home,40,79,9,21,16,20,6,24,30,18,18,10,8,4,105,-9
Road,52,95,16,35,11,15,10,36,46,29,19,10,15,6,131,-5.5
Home,44,100,14,33,21,26,16,28,44,23,18,8,16,3,123,5.5
Road,39,82,15,35,12,17,10,26,36,26,15,20,23,3,105,-3.5
Home,45,81,7,18,13,16,12,30,42,27,17,14,24,7,110,3.5
Road,47,84,13,26,18,23,10,36,46,31,17,11,12,3,125,-2.5
Home,33,81,3,14,19,22,11,22,33,14,17,6,15,4,88,2.5
Road,38,88,1,16,8,10,10,44,54,14,19,9,20,8,85,-2
Home,28,84,7,24,11,20,10,37,47,19,16,11,17,7,74,2
Road,38,92,15,36,15,22,19,25,44,23,22,7,12,0,106,2
Home,43,77,10,28,18,24,9,31,40,29,18,6,15,2,114,-2
Road,39,91,6,21,16,23,15,35,50,22,18,7,16,5,100,4
Home,38,92,5,23,24,28,13,32,45,22,22,10,12,4,105,-4
Road,29,75,6,21,17,24,7,36,43,17,14,3,17,8,81,0
